Distance,Distance_rs,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip,filt_clip_oib,misfit,abs_misfit
328111.07487832237,348000.0,324000.0,590.0,-643.6435127630665,6.588859249023344,18587.7684342,7874.7824371376755,-1030320.239815545,-5299.32287575818,-5299.32287575818,-1767.1000094953129,1.0,89.0,-1900.6197106820366,-1847.6831702545617,-1847.6831702545617,-1427.9016792028488,419.7814910517129,419.7814910517129
332978.6226645644,353000.0,324000.0,590.0,-642.2837449426399,9.87822785928018,16631.1612306,3006.647566044965,-1030313.4346448551,-6255.9556882250145,-6255.9556882250145,-1888.8001019157582,1.0,89.0,-2086.638089597708,-2019.1316888596978,-2019.1316888596978,-1411.6808508261015,607.4508380335963,607.4508380335963
333000.0,,,,,,,,,,,,,,,,,-1395.460022449354,,
338000.0,,,,,,,,,,,,,,,,,-1396.5716906445043,,
338300.9747198525,358000.0,324000.0,590.0,-643.063554795846,20.030757002742902,24946.7418459,-2316.3136021743803,-1030305.19232436,-10837.726562089605,-10837.726562089605,-2047.9463766194172,1.0,89.0,-2294.514277075395,-2190.1877291797323,-2190.1877291797323,-1419.9008987475872,770.286830432145,770.286830432145
342000.0,,,,,,,,,,,,,,,,,-1443.2301068506704,,
343000.0,,,,,,,,,,,,,,,,,-1466.5593149537533,,
343119.76606026234,363000.0,360000.0,590.0,-644.9862448462285,6.26901805751808,21522.679239600002,-7135.65116095769,-1030298.412264805,-6700.990966529895,-6700.990966529895,-2207.092651323076,1.0,93.0,-2502.4025369379283,-2340.6237577172865,-2340.6237577172865,-1517.176917060309,823.4468406569774,823.4468406569774
347711.3259206652,368000.0,360000.0,590.0,-647.3998982258395,14.722407608469794,19566.072036,-11727.8067577246,-1030297.46997262,-10472.579101164796,-10472.579101164796,-2319.431198172718,1.0,93.0,-2620.4926204569456,-2450.2122409749813,-2450.2122409749813,-1567.794519166865,882.4177218081163,882.4177218081163
348000.0,,,,,,,,,,,,,,,,,-1618.4121212734208,,
353000.0,,,,,,,,,,,,,,,,,-1846.12717436021,,
353109.8686849424,373000.0,360000.0,590.0,-653.091220823603,11.16323482046382,18098.6166333,-17127.040519175498,-1030297.01241376,-6608.9066159471495,-6608.9066159471495,-2459.8543817347695,1.0,93.0,-2639.075311553705,-2498.725645455438,-2498.725645455438,-1936.4415083945787,562.2841370608594,562.2841370608594
357403.96460651996,378000.0,360000.0,590.0,-657.0285214422349,1.83901814842906,10272.1878189,-21421.71106714425,-1030299.17913945,-3466.6256101967147,-3466.6256101967147,-2558.150610228206,1.0,93.0,-2558.150610228206,-2465.936437661278,-2465.936437661278,-2026.7558424289475,439.18059523233046,439.18059523233046
358000.0,,,,,,,,,,,,,,,,,-2117.0701764633163,,
363000.0,,,,,,,,,,,,,,,,,-2395.7690648101257,,
363017.37071493344,383000.0,360000.0,590.0,-663.1563409507676,1.52536630631286,15163.705827900001,-27035.8331823431,-1030301.067768225,-3498.628173672165,-3498.628173672165,-2140.656786710817,1.0,93.0,-2377.7185164804496,-2335.2580401246505,-2335.2580401246505,-2479.4299687494254,-144.17192862477486,144.17192862477486
367582.2451360574,388000.0,360000.0,590.0,-666.7868089157864,4.7772143966627905,11739.6432216,-31601.39824592205,-1030310.7376131599,-5607.93725563029,-5607.93725563029,-1985.310247727602,1.0,93.0,-2097.7790303104343,-2108.4795703428226,-2108.4795703428226,-2563.0908726887246,-454.611302345902,454.611302345902
368000.0,,,,,,,,,,,,,,,,,-2646.7517766280243,,
373000.0,,,,,,,,,,,,,,,,,-2834.5462491443977,,
