Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip
293000.0,288000.0,404.65,,-575.421177185372,20.34518904657635,5848.971104625,-176032.4070549675,-1090423.0048915225,-9374.300231573909,-9374.300231573909,-1732.5685982710547,0.0,34.0,-1716.1708853032642,-1732.941831666918,-1732.941831666918
298000.0,288000.0,404.65,,-574.63025210728,20.5820374882695,6026.212653250001,-174148.30748289998,-1090439.9334980948,-8523.076049474517,-8523.076049474517,-1733.2885706907687,0.0,34.0,-1707.5887023204107,-1733.3704422460294,-1733.3704422460294
303000.0,288000.0,404.65,,-573.8393270291879,20.81888592996265,6203.454201875,-172264.20791083248,-1090456.8621046674,-7671.851867375126,-7671.851867375126,-1734.0085431104826,0.0,34.0,-1718.656185675226,-1739.32199911471,-1739.32199911471
308000.0,288000.0,404.65,,-569.8777040671121,26.9975746637251,8862.07743125,-161811.29547591548,-1090538.6982641649,-3945.14428693794,-3945.14428693794,-1829.0083667043036,0.0,34.0,-1749.37333536771,-1760.21431563836,-1760.21431563836
313000.0,288000.0,404.65,,-569.9557973516247,1.4230892437828275,3544.8309725,-155313.10034255826,-1090584.8277650925,-2127.8189696181325,-2127.8189696181325,-1860.100658048956,0.0,34.0,-1799.7401513978632,-1800.7562984996785,-1800.7562984996785
318000.0,288000.0,404.65,,-570.9815072343695,1.4904852241763948,4962.7633614999995,-152184.9337276175,-1090614.028053705,-2618.4724119839348,-2618.4724119839348,-1861.103635189106,0.0,34.0,-1869.756633765685,-1857.1637083470712,-1857.1637083470712
323000.0,288000.0,404.65,,-572.0072171171142,1.5578812045699624,6380.695750500001,-149056.76711267675,-1090643.2283423175,-3109.1258543497374,-3109.1258543497374,-1862.106612329256,0.0,34.0,-1959.4227824711752,-1917.8473121662785,-1917.8473121662785
328000.0,306000.0,404.65,,-575.4184677613065,4.281547057388989,5671.729556,-143421.195141175,-1090691.424161105,-4887.902099405255,-4887.902099405255,-1865.1155437497064,0.0,54.0,-2046.0331614047661,-1970.981361983568,-1970.981361983568
333000.0,324000.0,404.65,,-580.457911327304,10.194979749419655,9571.04362575,-137327.4434469465,-1090726.196684335,-6534.812743879409,-6534.812743879409,-1905.2346293557093,0.0,74.0,-2082.7578085904725,-2004.7401098252055,-2004.7401098252055
338000.0,324000.0,404.65,,-584.4524857706475,3.88340944450847,2835.864778,-131687.780884474,-1090716.67514458,-3323.1650389126253,-3323.1650389126253,-1921.2822635981106,0.0,74.0,-2068.177634271446,-2007.2978077174575,-2007.2978077174575
343000.0,324000.0,404.65,,-587.136631860477,4.67766167022012,5671.729556,-126898.75587789051,-1090810.6577414451,-5541.83349586696,-5541.83349586696,-2004.6952542182325,0.0,74.0,-2002.2926384476878,-1966.8287076865902,-1966.8287076865902
348000.0,324000.0,404.65,,-588.3864776165494,11.079946574688421,8862.07743125,-122030.5151589725,-1090851.701657455,-8664.56884732121,-8664.56884732121,-1925.3418189404433,0.0,74.0,-1885.102821119197,-1875.2913011104656,-1875.2913011104656
353000.0,324000.0,404.65,,-589.2011303415145,1.764913772967125,6380.6957505,-116859.61254972001,-1090889.74385365,-4263.761230286265,-4263.761230286265,-1806.31166602376,0.0,74.0,-1716.608182285973,-1736.2634323940265,-1736.2634323940265
358000.0,324000.0,404.65,,-589.421636381302,10.756953162300995,6735.1788477499995,-113930.139128349,-1090900.181508235,-5624.698241957834,-5624.698241957834,-1796.3924866140362,0.0,74.0,-1496.8087219480171,-1569.2407160665225,-1569.2407160665225
363000.0,360000.0,404.65,,-589.92019764194,2.0716916398957,5671.729556,-106379.4484069195,-1091006.9106932199,-2496.1564940194203,-2496.1564940194203,-1607.9280778292873,0.0,99.0,-1248.5905962918384,-1395.4140374858325,-1395.4140374858325
368000.0,360000.0,404.65,,-591.4396422097684,1.655714505661515,9216.5605285,-101884.990730411,-1090999.9672794598,-2135.67565907098,-2135.67565907098,-1399.6253102250912,0.0,99.0,-1066.0413363064213,-1235.974282009836,-1235.974282009836
373000.0,360000.0,404.65,,-596.374286231347,4.513515435922555,6026.212653250001,-95987.94030385555,-1091090.95882732,-2519.2004393311254,-2519.2004393311254,-1260.7567984889604,0.0,99.0,-959.3325669635483,-1112.112334996413,-1112.112334996413
378000.0,360000.0,404.65,,-601.535820121519,1.3871819254309399,8862.07743125,-91779.38358362095,-1091049.076724985,-1088.26147453698,-1088.26147453698,-928.4642882632189,0.0,99.0,-928.4642882632189,-1045.019081803442,-1045.019081803442
383000.0,360000.0,404.65,,-610.308086686546,3.035936419557455,8507.594334000001,-86830.4885999905,-1091090.270153575,-4306.070800597305,-4306.070800597305,-1065.5967298478201,0.0,99.0,-973.4365002054337,-1052.0710484243848,-1052.0710484243848
388000.0,360000.0,404.65,,-620.538715352485,4.712427095852745,9216.5605285,-82039.97533940375,-1091178.3360903198,-5135.051757599815,-5135.051757599815,-1171.0832233744366,0.0,99.0,-1094.249202790192,-1132.9847099227286,-1132.9847099227286
393000.0,360000.0,404.65,,-633.836407690176,7.18002591004134,5317.24645875,-76076.20328990906,-1091222.3315089098,-4166.615234195885,-4166.615234195885,-1234.3751194904064,0.0,99.0,-1290.9023960174943,-1267.4774097057607,-1267.4774097057607
398000.0,396000.0,404.65,,-645.4543286556659,1.04249866102298,7089.661945,-70024.7828695559,-1091264.9882715,-2648.81921374069,-2648.81921374069,-1677.4183923021951,0.0,57.0,-1551.5233052964843,-1430.8142007091972,-1430.8142007091972
403000.0,396000.0,404.65,,-653.3619073685765,1.53578036635234,8507.594334,-65042.33884118059,-1091292.96363777,-3110.43896470125,-3110.43896470125,-1698.5156910075184,0.0,57.0,-1766.2887656617406,-1598.2601358687537,-1598.2601358687537
408000.0,396000.0,404.65,,-657.696415840558,2.4772970723093852,8507.594334,-61891.6479218898,-1091315.673330035,-3481.69042953213,-3481.69042953213,-1719.6129897128417,0.0,57.0,-1908.4850342838376,-1745.080268120147,-1745.080268120147
413000.0,396000.0,404.65,,-659.8026330021553,1.5856202807812925,3722.0725211249996,-58635.28317883382,-1091336.08651258,-2805.19567857902,-2805.19567857902,-1972.7805741767208,0.0,57.0,-1978.1121111627745,-1846.5396503990926,-1846.5396503990926
418000.0,396000.0,404.65,,-663.9286587640589,3.74595434289885,5908.051620833334,-50336.50664985053,-1091375.2710443668,-3806.37825504171,-3806.37825504171,-1403.434583792543,0.0,57.0,-1975.169996298551,-1879.8821314064496,-1879.8821314064496
423000.0,396000.0,404.65,,-664.826044227034,3.38747362348189,6144.3736856666665,-48509.058814573065,-1091384.4095254233,-3657.03434228647,-3657.03434228647,-1395.1503746534452,0.0,57.0,-1899.6586896911683,-1841.0163346991,-1841.0163346991
428000.0,396000.0,404.65,,-668.1171005359575,1.854605810825825,8153.11123675,-42358.805514682055,-1091441.250152355,-2426.30175769372,-2426.30175769372,-1275.0293421365286,0.0,57.0,-1751.5781913406254,-1742.2133372444625,-1742.2133372444625
