Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Dikes,Depth
404.59,,-730.084131795832,11088.9684598959,-25.3059179052963,,,324851.046223138,-1035849.53099728,,
404.59,,-730.637109776351,11208.2046798948,-25.4103434597648,,,324731.828381393,-1035851.62412711,,
404.59,,-731.189461607292,11327.4408998937,-25.5043845940418,,,324612.608504419,-1035853.59765771,,
404.59,,-731.74176155679,11446.6771198925,-25.5884226680836,,,324493.389022963,-1035855.59536757,,
404.59,,-732.30134553484,11565.9133398914,-25.6633024703057,,,324374.173462706,-1035857.81153659,,
404.59,,-732.862539694708,11685.1495598903,-25.7296350701833,,,324254.965912036,-1035860.41750366,,
404.59,,-733.425690880538,11804.3857798892,-25.7876767322116,,,324135.768673436,-1035863.45831151,,
404.59,,-733.991074933217,11923.6219998881,-25.8379564843453,,,324016.582879766,-1035866.91913989,,
404.59,,-734.558918928264,12042.858219887,-25.8809729784008,,,323897.408960985,-1035870.76820495,,
404.59,,-735.12943626141,12162.0944398858,-25.9166313131037,,,323778.24731389,-1035874.98041391,,
404.59,,-735.702725765683,12281.3306598847,-25.9443503725082,,,323659.096628257,-1035879.49425046,,
404.59,,-736.278456469721,12400.5668798836,-25.9636586169159,,,323539.94991063,-1035884.1130922,,
404.59,,-736.982368750021,12519.8030998825,-25.9743804627835,,,323420.79452139,-1035888.4954576,,
404.59,,-737.749568156623,12639.0393198814,-25.9760361536724,,,323301.618710155,-1035892.26919145,,
404.59,,-738.514913986971,12758.2755398802,-25.967393005855,,,323182.418583047,-1035895.17368341,,
404.59,,-739.277878838521,12877.5117598791,-25.947040400177,,,323063.199316432,-1035897.15569479,,
404.59,,-740.038437809547,12996.747979878,-25.9145683245996,,,322943.968890354,-1035898.31438365,,
404.59,,-740.797179326309,13115.9841998769,-25.8707490611113,,,322824.734134348,-1035898.89994235,,
404.59,,-741.554853538998,13235.2204198758,-25.8165797701317,,,322705.49821518,-1035899.16762932,,
404.59,,-742.311953377235,13354.4566398746,-25.7513508365336,,,322586.262041644,-1035899.27289103,,
404.59,,-743.13393564521,13473.6928598735,-25.6746912403943,,,322467.025950218,-1035899.1095787,,
404.59,,-744.126236243964,13592.9290798724,-25.5864206254713,,,322347.791785032,-1035898.43159538,,
