Distance,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
208000.0,180000.0,169340.0748665,-1092612.318655,650.0,-635.1250011945,10.42225929371,21588.423038300003,-9574.718749615,-3049.223502975,-9574.718749615,-4317.092908783574,0.0,138.0,-4249.463666663609,-4231.228681088242,-4231.228681088242
213000.0,180000.0,164629.8857965,-1092596.3118349998,650.0,-633.5638889815,1.7204589965500001,10564.547444225,-4755.71044902,-3085.02306054,-4755.71044902,-4329.283040116477,0.0,138.0,-4375.7939082906005,-4338.1623710716785,-4338.1623710716785
218000.0,216000.0,159154.8143635,-1092581.634255,650.0,-632.645448525,2.193576230155,19751.11043925,-6091.96582007,-3160.027281785,-6091.96582007,-4422.740713668745,0.0,143.0,-4523.520260811788,-4456.367692769826,-4456.367692769826
223000.0,216000.0,154163.6890065,-1092570.677985,650.0,-633.698315817,1.663327874345,20210.438589,-4946.01269511,-3263.620393405,-4946.01269511,-4483.6913703332675,0.0,143.0,-4660.985902003998,-4578.714731267559,-4578.714731267559
228000.0,216000.0,149068.8016085,-1092552.5386299998,650.0,-635.7650768374999,2.6624324661300003,17454.469690500002,-5769.116943125,-3386.3906267700004,-5769.116943125,-4536.515272775854,0.0,143.0,-4780.490523758892,-4698.073571649745,-4698.073571649745
233000.0,216000.0,144149.3532065,-1092536.6427799999,650.0,-640.783578914,6.996886428810001,20210.438588949997,-8715.687499665,-3498.94207182,-8715.687499665,-4833.141801876529,0.0,143.0,-4882.034126076467,-4807.314299001256,-4807.314299001256
238000.0,216000.0,137745.38511933334,-1092526.08913,650.0,-651.5243527256666,9.123866469956667,19444.8916727,-10822.022786066667,-3592.533474603333,-10822.022786066667,-4845.991440058448,0.0,143.0,-4965.616708956725,-4899.877391600174,-4899.877391600174
243000.0,216000.0,135427.43475666665,-1092526.83674,650.0,-655.7912337723334,5.9113747818133335,21894.6418047,-10987.766275633334,-3612.8744079666667,-10987.766275633334,-4844.526681027392,0.0,143.0,-5031.238272399667,-4974.213109623824,-4974.213109623824
248000.0,228000.0,126928.955627,-1092514.3901066666,650.0,-672.7332992413334,4.615550799326667,21894.641804766667,-11873.05175739,-3599.3131623433333,-11873.05175739,-4837.202885872114,0.0,122.33333333333333,-5078.898816405292,-5021.265378381918,-5021.265378381918
253000.0,240000.0,123758.516554,-1092498.1943333333,650.0,-678.7749590346666,4.528838174993333,23119.516870733336,-10426.352538680001,-3566.3475331966665,-10426.352538680001,-4835.738126841059,0.0,101.66666666666666,-5107.0002101459,-5027.71644097697,-5027.71644097697
258000.0,252000.0,119180.418078,-1092472.007605,650.0,-687.3288102305,2.672040068365,22966.4074875,-6544.294189195,-3507.7261574249997,-6544.294189195,-4810.104843797586,0.0,81.0,-5062.8041363074535,-4980.248540511497,-4980.248540511497
263000.0,252000.0,114281.1051405,-1092432.4588449998,650.0,-694.541500022,10.132092355145,22966.4074875,-11568.243651925,-3397.58003793,-11568.243651925,-4704.642193561585,0.0,81.0,-4920.740501646783,-4865.543920088012,-4865.543920088012
268000.0,252000.0,109085.769504,-1092390.0449950001,650.0,-701.4952928815001,5.4745685624650005,22966.40748745,-11406.1269527,-3244.608059815,-11406.1269527,-4599.179543325584,0.0,81.0,-4680.809306163883,-4670.284822809031,-4670.284822809031
273000.0,252000.0,104349.314216,-1092352.505475,650.0,-707.2866983065,2.903505981945,20669.7667387,-10371.12158162,-3072.3976857400003,-10371.12158162,-4061.2674850407084,0.0,81.0,-4343.010549858759,-4381.419846915021,-4381.419846915021
278000.0,252000.0,99417.6911587,-1092326.2352550002,650.0,-714.0034507595,3.1203458773149997,22507.0793378,-11695.8066402,-2863.200663435,-11695.8066402,-3664.334344320875,0.0,81.0,-3907.344232731409,-3994.687310198784,-3994.687310198784
283000.0,252000.0,95681.3111193,-1092308.76315,650.0,-719.7918498195,7.5306203765149995,16995.14154075,-14463.244140085,-2688.3369777099997,-14463.244140085,-3465.8677739609584,0.0,81.0,-3373.810354781834,-3527.1398787050534,-3527.1398787050534
288000.0,270000.0,90417.35076145001,-1092281.85416,650.0,-730.8313466175,6.915063300005,13779.844492475,-11142.362060119998,-2431.7826616,-11142.362060119998,-3399.712250507653,0.0,71.5,-2742.408916010032,-3012.8828845232997,-3012.8828845232997
293000.0,288000.0,85491.39363204999,-1092255.07727,650.0,-741.833397006,1.243414343675,7349.2503959999995,-3195.10522446,-2192.0115605,-3195.10522446,-3333.5567270543474,0.0,62.0,-2115.455912684406,-2486.0216597429876,-2486.0216597429876
298000.0,288000.0,78707.8459428,-1092212.252365,650.0,-758.7734245505001,5.03141857493,13320.51634275,-6876.6735837100005,-1891.17680706,-6876.6735837100005,-3002.77910978782,0.0,62.0,-1595.2673410733573,-1980.6615364535844,-1980.6615364535844
303000.0,288000.0,73982.3937278,-1092172.1148,650.0,-770.540169965,2.7812272073199997,10564.547444275,-3937.49999983,-1717.09270921,-3937.49999983,-2473.534922161375,0.0,62.0,-1181.843201176886,-1530.907846744558,-1530.907846744558
308000.0,288000.0,68801.0625696,-1092132.681645,650.0,-781.3005977815001,1.327975841055,17913.7978402,-4141.75097638,-1566.19726921,-4141.75097638,-981.9250685629429,0.0,62.0,-875.1834929949918,-1170.8659227053752,-1170.8659227053752
